"","rstudent","unadjusted_p","bonferroni_p"
"1106",-5.52221719207685,3.67292137851131e-08,9.7442604171905e-05
"1472",-5.51164485932886,3.89789595865726e-08,0.000103411179783177
"707",-5.17816577192256,2.40900097833501e-07,0.000639107959552279
"680",-5.17102097928448,2.50200531133346e-07,0.000663782009096766
"353",-4.68237632788816,2.97864995712457e-06,0.00790235833625149
"742",-4.5035783105314,6.97119505695758e-06,0.0184945804861085
"291",-4.34592904021852,1.43915961386319e-05,0.0381809045557904
"1886",-4.30505005464667,1.7301577682974e-05,0.0459010855929301
