"","rstudent","unadjusted_p","bonferroni_p"
"169",-9.66991705285928,9.21845136591588e-22,2.44749883765067e-18
"1472",-9.1935535454519,7.46899627602672e-20,1.98301851128509e-16
"1107",-5.38914431124298,7.70263363755445e-08,0.000204504923077071
"1474",-5.29129140502454,1.3138930354923e-07,0.000348838600923205
"708",-4.98503639830041,6.59451804534677e-07,0.00175084454103957
"681",-4.96790573460988,7.19852437156571e-07,0.0019112082206507
"354",-4.54365195876003,5.77641018247252e-06,0.0153363690344645
"743",-4.32997335471859,1.54665742482915e-05,0.0410637546292139
