"","rstudent","unadjusted_p","bonferroni_p"
"1595",4.89867943936292,1.02284637204841e-06,0.00271565711778853
"2184",4.50717473587792,6.85456489105719e-06,0.0181988697857568
"916",4.49239082177834,7.34434907198784e-06,0.0194992467861277
"1553",4.31849371980982,1.62867966898733e-05,0.0432414452116136
