"","rstudent","unadjusted_p","bonferroni_p"
"112",5.81941890771347,1.47265404735614e-08,4.63886024917183e-06
"94",5.7576595619695,2.05189373238565e-08,6.46346525701481e-06
"257",4.65354022137168,4.84150997518819e-06,0.00152507564218428
